date,temperature_2m,precipitation,rain,snowfall,snow_depth,wind_speed_10m,holiday
2015/1/4 11:00,6.9335,0.1,0.1,0,0.01,10.805998,0
2015/1/4 12:00,7.1335,0.1,0.1,0,0.01,11.183201,0
2015/1/4 13:00,7.6335,1.4,1.4,0,0.01,9.449572,0
2015/1/4 14:00,8.4335,0,0,0,0.01,13.237039,0
2015/1/4 15:00,9.533501,0,0,0,0.01,14.764389,0
2015/1/4 16:00,10.883499,0,0,0,0.01,18.678415,0
2015/1/4 17:00,12.033501,0.1,0.1,0,0.01,16.992609,0
2015/1/4 18:00,13.2335,0.2,0.2,0,0,16.992609,0
2015/1/4 19:00,11.283501,0,0,0,0,19.969458,0
2015/1/4 20:00,11.883499,0,0,0,0,19.406637,0
2015/1/4 21:00,12.133499,0,0,0,0,18.075441,0
2015/1/4 22:00,11.9835,0,0,0,0,16.80857,0
2015/1/4 23:00,12.033501,0,0,0,0,15.2947035,0
2015/1/5 0:00,11.9835,0.3,0.3,0,0,13.722565,0
2015/1/5 1:00,11.1835,1.1,1.1,0,0,14.618837,0
2015/1/5 2:00,10.2335,0.6,0.6,0,0,19.602652,0
2015/1/5 3:00,8.7335,0.4,0.4,0,0,22.346113,0
2015/1/5 4:00,6.9835,0,0,0,0,20.16,0
2015/1/5 5:00,5.4835,0,0,0,0,21.24305,0
2015/1/5 6:00,3.8835,0,0,0,0,20.991426,0
2015/1/5 7:00,4.1835,0,0,0,0,20.275383,0
2015/1/5 8:00,3.2335,0,0,0,0,20.12461,0
2015/1/5 9:00,2.4835,0,0,0,0,18.998314,0
2015/1/5 10:00,1.8835001,0,0,0,0,18.374111,0
2015/1/5 11:00,1.3835,0,0,0,0,18.359999,0
2015/1/5 12:00,0.8835,0,0,0,0,18.057508,0
2015/1/5 13:00,0.6335,0,0,0,0,18.374111,0
2015/1/5 14:00,1.2335,0,0,0,0,18.584509,0
2015/1/5 15:00,1.4835,0,0,0,0,24.606731,0
2015/1/5 16:00,1.5835,0,0,0,0,26.7565,0
2015/1/5 17:00,1.5835,0,0,0,0,25.809765,0
2015/1/5 18:00,1.5835,0,0,0,0,25.620771,0
2015/1/5 19:00,1.2835,0,0,0,0,25.96496,0
2015/1/5 20:00,0.8835,0,0,0,0,24.933735,0
