date,hour,count
2019/1/12,4,1903
2019/1/12,5,962
2019/1/12,6,1979
2019/1/12,7,3340
2019/1/12,8,5469
2019/1/12,9,8174
2019/1/12,10,9928
2019/1/12,11,11356
2019/1/12,12,12603
2019/1/12,13,12583
2019/1/12,14,11644
2019/1/12,15,12595
2019/1/12,16,12439
2019/1/12,17,12932
2019/1/12,18,13499
2019/1/12,19,13435
2019/1/12,20,10600
2019/1/12,21,10396
2019/1/12,22,11359
2019/1/12,23,11455
2019/1/13,0,10128
2019/1/13,1,8530
2019/1/13,2,6871
2019/1/13,3,4525
2019/1/13,4,2356
2019/1/13,5,839
2019/1/13,6,1473
2019/1/13,7,2793
2019/1/13,8,4497
2019/1/13,9,6320
2019/1/13,10,8702
2019/1/13,11,10411
2019/1/13,12,12052
2019/1/13,13,11089
2019/1/13,14,10962
2019/1/13,15,10828
2019/1/13,16,11070
2019/1/13,17,11091
2019/1/13,18,10326
2019/1/13,19,8945
2019/1/13,20,7724
2019/1/13,21,6892
2019/1/13,22,5130
2019/1/13,23,3280
2019/1/14,0,1878
2019/1/14,1,1144
2019/1/14,2,744
2019/1/14,3,492
2019/1/14,4,709
2019/1/14,5,1889
2019/1/14,6,5907
2019/1/14,7,10560
2019/1/14,8,12562
2019/1/14,9,11133
2019/1/14,10,9782
2019/1/14,11,9563
2019/1/14,12,9790
2019/1/14,13,9856
2019/1/14,14,10657
2019/1/14,15,11628
2019/1/14,16,10666
2019/1/14,17,13032
2019/1/14,18,14312
2019/1/14,19,12801
2019/1/14,20,11240
2019/1/14,21,9937
2019/1/14,22,7660
2019/1/14,23,4816
2019/1/15,0,2726
2019/1/15,1,1546
2019/1/15,2,923
2019/1/15,3,650
2019/1/15,4,730
2019/1/15,5,1848
2019/1/15,6,5922
2019/1/15,7,11034
2019/1/15,8,13551
2019/1/15,9,12292
2019/1/15,10,10842
2019/1/15,11,10662
2019/1/15,12,11245
2019/1/15,13,10697
2019/1/15,14,11788
2019/1/15,15,12213
2019/1/15,16,10848
2019/1/15,17,13185
2019/1/15,18,14956
2019/1/15,19,13789
2019/1/15,20,12819
2019/1/15,21,12637
2019/1/15,22,9922
2019/1/15,23,6007
2019/1/16,0,3442
2019/1/16,1,1846
2019/1/16,2,1157
2019/1/16,3,707
2019/1/16,4,727
2019/1/16,5,1822
2019/1/16,6,5987
2019/1/16,7,10995
2019/1/16,8,13118
2019/1/16,9,11843
2019/1/16,10,10525
2019/1/16,11,10823
2019/1/16,12,11200
2019/1/16,13,11101
2019/1/16,14,11929
2019/1/16,15,12136
2019/1/16,16,10728
2019/1/16,17,12908
2019/1/16,18,15161
2019/1/16,19,14135
2019/1/16,20,13112
2019/1/16,21,12959
2019/1/16,22,10810
2019/1/16,23,6739
2019/1/17,0,3610
2019/1/17,1,1990
2019/1/17,2,1275
2019/1/17,3,792
2019/1/17,4,769
2019/1/17,5,1880
2019/1/17,6,6087
2019/1/17,7,11725
2019/1/17,8,13323
2019/1/17,9,11939
2019/1/17,10,10656
2019/1/17,11,10730
2019/1/17,12,11304
2019/1/17,13,11499
2019/1/17,14,12367
2019/1/17,15,12658
2019/1/17,16,11181
2019/1/17,17,13495
2019/1/17,18,15713
2019/1/17,19,14506
2019/1/17,20,13564
2019/1/17,21,13511
2019/1/17,22,11727
2019/1/17,23,8277
2019/1/18,0,5232
2019/1/18,1,3120
2019/1/18,2,1927
2019/1/18,3,1247
2019/1/18,4,1042
2019/1/18,5,1865
2019/1/18,6,5428
2019/1/18,7,10043
2019/1/18,8,12240
2019/1/18,9,10684
2019/1/18,10,9636
2019/1/18,11,9723
2019/1/18,12,10462
2019/1/18,13,10295
2019/1/18,14,11706
2019/1/18,15,11798
2019/1/18,16,10862
2019/1/18,17,12832
2019/1/18,18,14419
2019/1/18,19,13537
2019/1/18,20,11202
2019/1/18,21,10535
2019/1/18,22,10851
2019/1/18,23,9558
2019/1/19,0,7725
2019/1/19,1,6473
2019/1/19,2,5323
2019/1/19,3,3527
2019/1/19,4,2100
2019/1/19,5,1035
2019/1/19,6,1996
2019/1/19,7,2938
2019/1/19,8,4841
2019/1/19,9,7048
2019/1/19,10,8513
2019/1/19,11,9356
2019/1/19,12,10358
2019/1/19,13,10826
2019/1/19,14,10691
2019/1/19,15,11183
2019/1/19,16,11191
2019/1/19,17,11301
2019/1/19,18,12003
2019/1/19,19,11618
2019/1/19,20,10602
2019/1/19,21,10469
2019/1/19,22,10129
2019/1/19,23,9280
2019/1/20,0,7979
2019/1/20,1,6441
2019/1/20,2,5185
2019/1/20,3,3433
2019/1/20,4,1812
2019/1/20,5,796
2019/1/20,6,1099
2019/1/20,7,2096
2019/1/20,8,3288
2019/1/20,9,4945
2019/1/20,10,6811
2019/1/20,11,8599
2019/1/20,12,9039
2019/1/20,13,9624
2019/1/20,14,10422
2019/1/20,15,10329
2019/1/20,16,10389
2019/1/20,17,10433
2019/1/20,18,11468
2019/1/20,19,8935
2019/1/20,20,7587
2019/1/20,21,6810
2019/1/20,22,8345
2019/1/20,23,4874
2019/1/21,0,4062
2019/1/21,1,2144
2019/1/21,2,1491
2019/1/21,3,982
2019/1/21,4,884
2019/1/21,5,986
2019/1/21,6,2561
2019/1/21,7,3574
2019/1/21,8,5827
2019/1/21,9,7252
2019/1/21,10,7931
2019/1/21,11,9038
2019/1/21,12,9587
2019/1/21,13,9488
2019/1/21,14,9832
2019/1/21,15,10578
2019/1/21,16,9728
2019/1/21,17,10357
2019/1/21,18,10661
2019/1/21,19,8661
2019/1/21,20,6900
2019/1/21,21,6015
2019/1/21,22,4575
2019/1/21,23,2919
2019/1/22,0,1470
2019/1/22,1,894
2019/1/22,2,564
2019/1/22,3,387
2019/1/22,4,606
2019/1/22,5,1865
2019/1/22,6,6127
2019/1/22,7,11119
2019/1/22,8,13614
2019/1/22,9,12010
2019/1/22,10,10281
2019/1/22,11,10100
2019/1/22,12,10048
2019/1/22,13,10077
2019/1/22,14,11043
2019/1/22,15,11638
2019/1/22,16,10717
2019/1/22,17,12736
2019/1/22,18,14822
2019/1/22,19,12931
2019/1/22,20,11550
2019/1/22,21,11312
2019/1/22,22,8471
2019/1/22,23,5239
2019/1/23,0,2867
2019/1/23,1,1496
2019/1/23,2,931
2019/1/23,3,661
2019/1/23,4,699
2019/1/23,5,1823
2019/1/23,6,5850
2019/1/23,7,11138
2019/1/23,8,13094
2019/1/23,9,11687
2019/1/23,10,10345
2019/1/23,11,10627
2019/1/23,12,10876
2019/1/23,13,10481
2019/1/23,14,11233
2019/1/23,15,11465
2019/1/23,16,10469
2019/1/23,17,12511
2019/1/23,18,14484
2019/1/23,19,13475
2019/1/23,20,12343
2019/1/23,21,11934
2019/1/23,22,10815
2019/1/23,23,6233
2019/1/24,0,3575
2019/1/24,1,1978
2019/1/24,2,1208
2019/1/24,3,832
2019/1/24,4,811
2019/1/24,5,1857
2019/1/24,6,6462
2019/1/24,7,11479
2019/1/24,8,13479
2019/1/24,9,12279
2019/1/24,10,11602
2019/1/24,11,11165
2019/1/24,12,10885
2019/1/24,13,10429
2019/1/24,14,11980
2019/1/24,15,12339
2019/1/24,16,10842
2019/1/24,17,12982
2019/1/24,18,15463
2019/1/24,19,14919
2019/1/24,20,13567
2019/1/24,21,13717
2019/1/24,22,12282
2019/1/24,23,8753
2019/1/25,0,5177
2019/1/25,1,3154
2019/1/25,2,1879
2019/1/25,3,1189
2019/1/25,4,1046
2019/1/25,5,1845
2019/1/25,6,5659
2019/1/25,7,10448
2019/1/25,8,12592
2019/1/25,9,11319
2019/1/25,10,10436
2019/1/25,11,10409
2019/1/25,12,11033
2019/1/25,13,11236
2019/1/25,14,12604
2019/1/25,15,12702
2019/1/25,16,11657
2019/1/25,17,14070
2019/1/25,18,16518
2019/1/25,19,16226
2019/1/25,20,13410
