starting_time,ending_time,starting_point,ending_point
2017-01-01 21:20:05,2017-01-01 21:28:59,79,231
2015-01-01 21:40:24,2015-01-01 21:45:25,161,236
2016-01-01 21:04:07,2016-01-01 21:12:01,170,163
2015-01-01 21:25:49,2015-01-01 21:36:32,48,170
2017-01-01 21:12:24,2017-01-01 21:20:12,48,236
2017-01-01 21:42:53,2017-01-01 21:49:58,113,186
2019-01-01 21:32:48,2019-01-01 21:36:55,142,48
2016-01-01 21:42:44,2016-01-01 21:49:15,186,113
2017-01-01 21:04:07,2017-01-01 21:12:48,186,79
2019-01-01 21:25:23,2019-01-01 21:37:19,113,43
2018-01-01 21:26:21,2018-01-01 21:38:11,163,234
2017-01-01 21:22:40,2017-01-01 21:42:13,161,68
2017-01-01 21:45:08,2017-01-01 21:51:18,163,48
2018-01-01 21:35:12,2018-01-01 21:40:02,186,170
2016-01-01 21:09:35,2016-01-01 21:18:32,142,68
2018-01-01 21:01:11,2018-01-01 21:12:17,234,48
2016-01-01 21:26:49,2016-01-01 21:35:28,170,68
2019-01-01 21:38:47,2019-01-01 21:48:12,234,163
2015-01-01 21:36:44,2015-01-01 21:43:08,186,113
2016-01-01 21:39:32,2016-01-01 21:51:55,48,161
2015-01-01 21:31:58,2015-01-01 21:44:33,79,140
2018-01-01 21:09:23,2018-01-01 21:12:02,237,236
2017-01-01 21:52:33,2017-01-01 21:55:54,237,236
2015-01-01 21:34:34,2015-01-01 21:42:48,48,239
2019-01-01 21:48:35,2019-01-01 21:59:29,68,79
2018-01-01 21:11:20,2018-01-01 21:17:16,79,113
2019-01-01 21:48:58,2019-01-01 21:59:02,237,79
2019-01-01 21:40:01,2019-01-01 21:51:03,68,163
2015-01-01 21:11:11,2015-01-01 21:17:19,79,170
2015-01-01 21:53:33,2015-01-01 21:56:39,237,236
2018-01-01 21:00:06,2018-01-01 21:06:19,236,239
2017-01-01 21:10:55,2017-01-01 21:27:11,142,231
2016-01-01 21:12:50,2016-01-01 21:22:28,239,43
2016-01-01 21:04:55,2016-01-01 21:11:23,237,142
2015-01-01 21:40:55,2015-01-01 21:47:50,236,41
2019-01-01 21:11:16,2019-01-01 21:28:15,186,74
2015-01-01 21:39:08,2015-01-01 21:47:28,186,50
2016-01-01 21:01:54,2016-01-01 21:06:14,48,50
2016-01-01 21:24:16,2016-01-01 21:25:53,239,142
2017-01-01 21:50:36,2017-01-01 21:54:20,48,142
2017-01-01 21:59:44,2017-01-01 22:12:33,186,140
2015-01-01 21:25:42,2015-01-01 21:31:54,237,239
2016-01-01 21:11:25,2016-01-01 21:16:58,161,234
2017-01-01 21:47:26,2017-01-01 22:03:41,48,43
2017-01-01 21:35:01,2017-01-01 21:39:50,163,142
2017-01-01 21:48:31,2017-01-01 21:57:06,43,239
2018-01-01 21:55:56,2018-01-01 22:02:58,186,170
2019-01-01 21:16:55,2019-01-01 21:29:00,140,113
2017-01-01 21:45:03,2017-01-01 21:47:49,68,186
2015-01-01 21:09:22,2015-01-01 21:17:52,239,43
2017-01-01 21:54:09,2017-01-01 22:06:49,79,186
2019-01-01 21:12:46,2019-01-01 21:23:25,48,113
2016-01-01 21:27:48,2016-01-01 21:35:07,186,48
2019-01-01 21:24:25,2019-01-01 21:33:33,239,50
2016-01-01 21:00:02,2016-01-01 21:11:57,79,170
2019-01-01 21:01:34,2019-01-01 21:09:04,170,68
2017-01-01 21:55:35,2017-01-01 22:09:15,234,50
2016-01-01 21:54:38,2016-01-01 22:05:57,79,161
2016-01-01 21:47:38,2016-01-01 21:55:20,236,142
2016-01-01 21:54:52,2016-01-01 22:00:26,48,161
2016-01-01 21:20:26,2016-01-01 21:25:38,170,234
2017-01-01 21:19:51,2017-01-01 21:25:40,48,163
2018-01-01 21:15:47,2018-01-01 21:25:26,163,48
2018-01-01 21:32:52,2018-01-01 21:40:37,234,79
2016-01-01 21:27:07,2016-01-01 21:35:43,186,142
2017-01-01 21:48:09,2017-01-01 21:57:32,142,163
2015-01-01 21:29:16,2015-01-01 21:34:18,142,239
2015-01-01 21:37:28,2015-01-01 21:39:38,43,237
2016-01-01 21:31:45,2016-01-01 21:39:08,68,142
2017-01-01 21:14:56,2017-01-01 21:17:41,142,43
2018-01-01 21:29:12,2018-01-01 21:37:34,68,79
2019-01-01 21:12:05,2019-01-01 21:19:22,161,237
2016-01-01 21:16:56,2016-01-01 21:26:33,142,170
2016-01-01 21:38:30,2016-01-01 21:41:34,161,237
2017-01-01 21:06:05,2017-01-01 21:19:33,244,50
2018-01-01 21:27:24,2018-01-01 21:45:55,186,41
2016-01-01 21:54:26,2016-01-01 22:04:07,234,48
2015-01-01 21:14:26,2015-01-01 21:19:12,161,170
2016-01-01 21:16:50,2016-01-01 21:22:16,236,74
2018-01-01 21:54:05,2018-01-01 22:00:31,239,142
2018-01-01 21:34:53,2018-01-01 21:36:25,161,163
2017-01-01 21:57:05,2017-01-01 22:00:04,74,41
2016-01-01 21:35:39,2016-01-01 21:52:09,236,113
2016-01-01 21:13:52,2016-01-01 21:28:01,88,161
2018-01-01 21:25:56,2018-01-01 21:41:24,79,237
2018-01-01 21:37:04,2018-01-01 21:40:03,74,41
2015-01-01 21:38:46,2015-01-01 21:41:04,142,48
2017-01-01 21:44:00,2017-01-01 21:49:17,48,68
2015-01-01 21:33:43,2015-01-01 21:39:38,163,161
2016-01-01 21:58:26,2016-01-01 22:09:37,239,140
2015-01-01 21:22:40,2015-01-01 21:32:55,48,186
2018-01-01 21:13:46,2018-01-01 21:20:32,186,170
2019-01-01 21:00:15,2019-01-01 21:07:21,236,239
2015-01-01 21:15:25,2015-01-01 21:21:12,113,79
2016-01-01 21:54:46,2016-01-01 22:05:22,170,48
2015-01-01 21:35:41,2015-01-01 21:44:45,236,142
2016-01-01 21:17:48,2016-01-01 21:28:37,236,170
2017-01-01 21:51:56,2017-01-01 22:04:13,161,50
2015-01-01 21:51:05,2015-01-01 22:07:44,142,113
2018-01-01 21:57:06,2018-01-01 22:09:22,48,234
2018-01-01 21:09:52,2018-01-01 21:16:28,68,48
2016-01-01 21:30:11,2016-01-01 21:39:36,170,161
2016-01-01 21:45:19,2016-01-01 22:04:41,48,88
2017-01-01 21:08:41,2017-01-01 21:13:55,50,239
2015-01-01 21:45:45,2015-01-01 21:50:03,48,50
2018-01-01 21:23:56,2018-01-01 21:34:11,186,236
2018-01-01 21:41:46,2018-01-01 21:53:27,48,239
2016-01-01 21:04:48,2016-01-01 21:17:23,140,50
2015-01-01 21:49:39,2015-01-01 21:55:45,161,236
2017-01-01 21:50:35,2017-01-01 21:55:45,237,239
2018-01-01 21:19:43,2018-01-01 21:23:04,161,43
2018-01-01 21:25:13,2018-01-01 21:30:34,170,186
2016-01-01 21:20:27,2016-01-01 21:34:08,48,74
