starting_time,ending_time,starting_point,ending_point
2017-01-01 04:39:11,2017-01-01 04:45:15,79,186
2015-01-01 04:49:51,2015-01-01 05:01:01,68,170
2017-01-01 04:56:44,2017-01-01 05:01:27,186,68
2016-01-01 04:03:40,2016-01-01 04:14:34,79,186
2015-01-01 04:45:28,2015-01-01 04:52:44,142,161
2016-01-01 04:55:30,2016-01-01 05:05:05,79,68
2015-01-01 04:53:29,2015-01-01 04:56:04,50,48
2018-01-01 04:14:34,2018-01-01 04:25:51,186,79
2016-01-01 04:06:15,2016-01-01 04:12:59,234,79
2016-01-01 04:27:36,2016-01-01 04:33:59,79,170
2015-01-01 04:45:26,2015-01-01 04:53:49,239,48
2015-01-01 04:11:09,2015-01-01 04:20:13,163,234
2019-01-01 04:09:10,2019-01-01 04:15:59,68,234
2017-01-01 04:20:31,2017-01-01 04:33:30,186,140
2015-01-01 04:48:43,2015-01-01 04:53:32,142,239
2015-01-01 04:13:52,2015-01-01 04:26:53,170,231
2015-01-01 04:03:03,2015-01-01 04:05:27,142,239
2019-01-01 04:10:54,2019-01-01 04:29:04,239,79
2018-01-01 04:40:56,2018-01-01 04:48:42,50,234
2015-01-01 04:01:11,2015-01-01 04:19:30,48,244
2015-01-01 04:04:03,2015-01-01 04:13:52,79,68
2016-01-01 04:01:59,2016-01-01 04:12:55,244,243
2016-01-01 04:48:39,2016-01-01 05:06:09,50,88
2018-01-01 04:48:35,2018-01-01 04:53:23,163,236
2016-01-01 04:17:10,2016-01-01 04:27:50,113,170
2015-01-01 04:23:06,2015-01-01 04:34:48,231,79
2018-01-01 04:11:42,2018-01-01 04:21:30,232,88
2017-01-01 04:26:16,2017-01-01 04:32:24,48,239
2015-01-01 04:10:42,2015-01-01 04:14:47,50,68
2016-01-01 04:42:35,2016-01-01 04:59:32,48,243
2015-01-01 04:07:18,2015-01-01 04:15:36,186,48
2017-01-01 04:07:23,2017-01-01 04:13:49,170,236
2015-01-01 04:02:06,2015-01-01 04:12:07,161,234
2017-01-01 04:38:23,2017-01-01 04:49:03,79,88
2016-01-01 04:50:21,2016-01-01 05:06:36,48,243
2019-01-01 04:29:31,2019-01-01 04:43:22,48,244
2015-01-01 04:10:21,2015-01-01 04:14:57,170,79
2016-01-01 04:09:00,2016-01-01 04:15:26,236,239
2017-01-01 04:15:46,2017-01-01 04:28:35,140,41
2015-01-01 04:32:58,2015-01-01 04:39:54,79,170
2016-01-01 04:29:10,2016-01-01 04:36:57,48,186
2016-01-01 04:16:32,2016-01-01 04:24:24,186,163
2015-01-01 04:45:36,2015-01-01 04:55:38,68,79
2019-01-01 04:13:05,2019-01-01 04:21:15,68,170
2017-01-01 04:51:20,2017-01-01 04:57:36,237,142
2017-01-01 04:27:24,2017-01-01 04:34:20,79,232
2015-01-01 04:25:29,2015-01-01 04:34:32,74,243
2016-01-01 04:00:17,2016-01-01 04:26:16,79,243
2015-01-01 04:10:38,2015-01-01 04:17:32,234,170
2015-01-01 04:02:56,2015-01-01 04:10:35,48,163
2019-01-01 04:06:33,2019-01-01 04:12:51,68,113
2017-01-01 04:33:34,2017-01-01 04:42:03,79,232
2017-01-01 04:03:03,2017-01-01 04:04:54,186,68
2015-01-01 04:44:09,2015-01-01 04:57:45,234,88
2019-01-01 04:16:40,2019-01-01 04:27:23,74,41
2015-01-01 04:31:17,2015-01-01 04:44:45,74,244
2015-01-01 04:48:05,2015-01-01 05:00:04,68,48
2017-01-01 04:14:32,2017-01-01 04:30:38,79,236
2016-01-01 04:45:48,2016-01-01 04:51:25,43,163
2016-01-01 04:31:16,2016-01-01 04:33:49,74,41
2016-01-01 04:18:34,2016-01-01 04:29:59,50,236
2019-01-01 04:42:46,2019-01-01 04:48:18,243,244
2016-01-01 04:21:41,2016-01-01 04:33:22,236,79
2015-01-01 04:05:38,2015-01-01 04:14:06,74,41
2016-01-01 04:41:40,2016-01-01 04:54:43,170,236
2015-01-01 04:07:52,2015-01-01 04:22:20,170,50
2016-01-01 04:13:22,2016-01-01 04:21:59,41,74
2019-01-01 04:15:22,2019-01-01 04:29:05,142,243
2017-01-01 04:12:17,2017-01-01 04:28:00,68,41
2018-01-01 04:21:31,2018-01-01 04:27:42,186,48
2019-01-01 04:29:05,2019-01-01 04:38:50,161,186
2019-01-01 04:32:59,2019-01-01 04:51:37,79,50
2017-01-01 04:16:54,2017-01-01 04:26:28,161,79
2016-01-01 04:35:03,2016-01-01 04:43:03,113,68
2016-01-01 04:47:30,2016-01-01 04:51:14,48,163
2015-01-01 04:42:45,2015-01-01 04:52:57,79,170
2016-01-01 04:16:29,2016-01-01 04:28:01,68,161
2016-01-01 04:20:40,2016-01-01 04:28:46,50,186
2015-01-01 04:54:21,2015-01-01 05:02:00,48,68
2015-01-01 04:09:34,2015-01-01 04:12:41,170,68
2019-01-01 04:16:32,2019-01-01 04:25:12,48,170
2018-01-01 04:24:30,2018-01-01 04:29:50,48,186
2015-01-01 04:19:22,2015-01-01 04:21:43,186,48
2016-01-01 04:17:43,2016-01-01 04:27:49,142,237
2017-01-01 04:07:33,2017-01-01 04:12:52,234,186
2018-01-01 04:28:34,2018-01-01 04:33:31,48,68
2015-01-01 04:31:30,2015-01-01 04:38:56,43,186
2017-01-01 04:42:18,2017-01-01 04:50:23,140,236
2016-01-01 04:55:07,2016-01-01 04:59:34,68,161
2015-01-01 04:34:26,2015-01-01 04:38:54,234,79
2017-01-01 04:10:46,2017-01-01 04:17:57,234,142
2017-01-01 04:19:02,2017-01-01 04:29:23,142,140
2018-01-01 04:55:12,2018-01-01 05:02:03,186,79
2015-01-01 04:47:31,2015-01-01 04:54:11,161,186
2015-01-01 04:05:05,2015-01-01 04:11:50,239,48
2019-01-01 04:20:32,2019-01-01 04:28:20,68,50
2018-01-01 04:05:02,2018-01-01 04:10:40,161,48
2015-01-01 04:00:25,2015-01-01 04:07:16,48,161
2015-01-01 04:12:48,2015-01-01 04:21:29,234,43
2016-01-01 04:04:25,2016-01-01 04:11:49,79,140
2015-01-01 04:08:20,2015-01-01 04:17:03,239,170
2015-01-01 04:22:43,2015-01-01 04:28:08,161,186
2016-01-01 04:15:04,2016-01-01 04:26:29,79,186
2015-01-01 04:17:25,2015-01-01 04:42:52,48,232
2015-01-01 04:19:02,2015-01-01 04:24:56,48,142
2018-01-01 04:15:41,2018-01-01 04:27:37,234,142
2017-01-01 04:45:17,2017-01-01 05:02:29,161,243
2017-01-01 04:00:18,2017-01-01 04:05:24,244,243
2017-01-01 04:48:18,2017-01-01 04:52:21,234,170
2019-01-01 04:36:33,2019-01-01 05:00:00,79,244
2018-01-01 04:27:53,2018-01-01 04:38:35,140,239
2016-01-01 04:33:29,2016-01-01 04:38:47,41,74
2015-01-01 04:31:44,2015-01-01 04:37:27,161,234
2016-01-01 04:30:13,2016-01-01 04:36:28,48,161
2015-01-01 04:29:13,2015-01-01 04:40:12,170,236
2015-01-01 04:36:20,2015-01-01 04:50:00,231,237
2018-01-01 04:26:48,2018-01-01 04:37:18,41,244
2018-01-01 04:26:59,2018-01-01 04:39:59,113,231
2017-01-01 04:16:27,2017-01-01 04:27:29,79,170
2018-01-01 04:51:04,2018-01-01 04:56:28,163,142
2015-01-01 04:00:01,2015-01-01 04:08:05,140,170
2015-01-01 04:09:44,2015-01-01 04:14:40,186,68
2015-01-01 04:50:52,2015-01-01 04:55:30,186,48
2017-01-01 04:40:23,2017-01-01 04:53:18,48,41
2015-01-01 04:42:26,2015-01-01 04:46:27,236,239
2019-01-01 04:00:27,2019-01-01 04:06:04,48,239
2015-01-01 04:04:24,2015-01-01 04:15:54,41,239
