Station,y_i,L_i
0,0,0
1,1,1
2,1,1
3,1,4
4,1,1
5,1,1
6,1,0
7,1,2
8,0,0
9,1,2
10,1,0
11,1,1
12,1,0
13,1,4
14,1,2
15,1,3
16,0,0
17,0,0
18,0,0
19,1,0
20,1,2
21,1,3
22,1,3
23,0,0
24,0,0
