starting_time,ending_time,starting_point,ending_point
2019-01-01 09:39:40,2019-01-01 09:42:05,163,237
2015-01-01 09:58:59,2015-01-01 10:03:23,236,237
2018-01-01 09:34:53,2018-01-01 09:52:56,41,186
2019-01-01 09:11:47,2019-01-01 09:17:28,236,163
2018-01-01 09:44:31,2018-01-01 09:46:45,234,161
2017-01-01 09:13:16,2017-01-01 09:27:27,236,142
2019-01-01 09:19:17,2019-01-01 09:31:33,234,142
2016-01-01 09:11:54,2016-01-01 09:19:48,236,239
2018-01-01 09:23:26,2018-01-01 09:28:10,236,163
2018-01-01 09:01:54,2018-01-01 09:09:14,161,48
2017-01-01 09:14:39,2017-01-01 09:21:12,142,43
2019-01-01 09:29:29,2019-01-01 09:34:17,43,142
2016-01-01 09:59:55,2016-01-01 10:15:26,140,41
2018-01-01 09:50:44,2018-01-01 09:56:53,236,161
2016-01-01 09:37:59,2016-01-01 09:45:44,170,236
2017-01-01 09:32:52,2017-01-01 09:45:53,237,74
2015-01-01 09:53:53,2015-01-01 09:59:48,236,140
2015-01-01 09:49:17,2015-01-01 09:56:41,43,186
2017-01-01 09:46:05,2017-01-01 09:50:22,234,79
2017-01-01 09:59:08,2017-01-01 10:01:05,41,74
2015-01-01 09:59:05,2015-01-01 10:07:28,170,68
2016-01-01 09:39:17,2016-01-01 09:41:03,50,142
2015-01-01 09:55:05,2015-01-01 10:03:17,161,186
2015-01-01 09:14:26,2015-01-01 09:20:37,140,236
2015-01-01 09:55:59,2015-01-01 10:01:21,140,237
2015-01-01 09:33:32,2015-01-01 09:38:14,68,170
2016-01-01 09:31:24,2016-01-01 09:39:55,140,186
2015-01-01 09:17:33,2015-01-01 09:21:50,48,186
2019-01-01 09:32:32,2019-01-01 09:37:31,170,237
2019-01-01 09:00:56,2019-01-01 09:06:05,163,186
2015-01-01 09:56:49,2015-01-01 10:01:29,140,236
2019-01-01 09:07:55,2019-01-01 09:17:05,79,186
2015-01-01 09:21:18,2015-01-01 09:30:57,140,163
2015-01-01 09:34:53,2015-01-01 09:48:02,239,186
2017-01-01 09:27:13,2017-01-01 09:28:40,142,239
