starting_time,ending_time,starting_point,ending_point
2018-01-01 15:36:11,2018-01-01 15:44:04,163,161
2015-01-01 15:22:16,2015-01-01 15:39:24,186,170
2017-01-01 15:13:11,2017-01-01 15:19:41,186,50
2017-01-01 15:58:34,2017-01-01 16:13:29,74,48
2016-01-01 15:47:04,2016-01-01 16:00:04,48,161
2015-01-01 15:13:02,2015-01-01 15:17:42,237,170
2018-01-01 15:50:47,2018-01-01 15:59:41,113,231
2016-01-01 15:08:34,2016-01-01 15:23:52,163,88
2019-01-01 15:41:44,2019-01-01 15:48:56,237,43
2016-01-01 15:54:00,2016-01-01 15:58:08,170,79
2019-01-01 15:47:51,2019-01-01 15:56:24,186,50
2018-01-01 15:51:22,2018-01-01 16:07:48,68,237
2018-01-01 15:30:39,2018-01-01 15:39:01,142,237
2016-01-01 15:49:52,2016-01-01 15:55:36,68,170
2015-01-01 15:37:29,2015-01-01 15:44:19,48,161
2017-01-01 15:43:50,2017-01-01 15:49:23,43,236
2015-01-01 15:16:53,2015-01-01 15:23:41,234,68
2019-01-01 15:00:25,2019-01-01 15:10:49,239,237
2015-01-01 15:53:01,2015-01-01 16:00:34,43,48
2016-01-01 15:22:45,2016-01-01 15:27:09,113,79
2018-01-01 15:24:41,2018-01-01 15:29:53,161,234
2019-01-01 15:28:13,2019-01-01 15:29:28,142,239
2015-01-01 15:41:06,2015-01-01 15:55:06,186,239
2019-01-01 15:33:26,2019-01-01 15:51:36,234,48
2018-01-01 15:35:09,2018-01-01 15:37:48,142,163
2019-01-01 15:19:33,2019-01-01 15:33:34,244,50
2015-01-01 15:38:48,2015-01-01 15:50:20,237,161
2017-01-01 15:06:07,2017-01-01 15:20:19,79,161
2016-01-01 15:17:45,2016-01-01 15:42:18,170,239
2016-01-01 15:38:41,2016-01-01 15:45:07,163,50
2016-01-01 15:32:32,2016-01-01 15:45:24,79,142
2017-01-01 15:19:47,2017-01-01 15:25:56,161,163
2019-01-01 15:54:06,2019-01-01 16:07:51,231,161
2016-01-01 15:11:11,2016-01-01 15:18:24,170,232
2015-01-01 15:01:01,2015-01-01 15:06:11,43,236
2017-01-01 15:00:12,2017-01-01 15:12:04,74,239
2018-01-01 15:15:04,2018-01-01 15:25:51,142,234
2016-01-01 15:19:31,2016-01-01 15:24:06,50,48
2016-01-01 15:47:21,2016-01-01 15:49:49,237,236
2017-01-01 15:54:04,2017-01-01 16:03:25,48,239
2018-01-01 15:33:48,2018-01-01 15:48:53,239,161
2015-01-01 15:58:27,2015-01-01 16:06:07,163,142
2019-01-01 15:51:53,2019-01-01 15:57:13,163,237
2015-01-01 15:10:13,2015-01-01 15:18:14,43,142
2016-01-01 15:22:27,2016-01-01 15:33:19,237,170
2016-01-01 15:48:01,2016-01-01 15:53:00,142,239
2016-01-01 15:04:18,2016-01-01 15:08:31,140,236
2015-01-01 15:01:11,2015-01-01 15:14:38,231,48
2015-01-01 15:06:24,2015-01-01 15:21:06,186,161
2015-01-01 15:59:48,2015-01-01 16:03:50,237,236
2019-01-01 15:42:53,2019-01-01 15:57:21,48,232
2018-01-01 15:04:00,2018-01-01 15:12:03,186,170
2016-01-01 15:18:10,2016-01-01 15:35:56,68,244
2016-01-01 15:22:24,2016-01-01 15:28:02,161,170
2015-01-01 15:24:32,2015-01-01 15:37:54,231,186
2019-01-01 15:58:41,2019-01-01 16:10:43,43,163
2019-01-01 15:02:44,2019-01-01 15:06:52,142,239
2018-01-01 15:12:43,2018-01-01 15:16:45,43,142
2018-01-01 15:52:25,2018-01-01 16:04:43,142,170
2019-01-01 15:27:48,2019-01-01 15:33:41,237,236
2017-01-01 15:42:33,2017-01-01 15:48:29,237,236
2016-01-01 15:27:08,2016-01-01 15:34:35,239,142
2019-01-01 15:02:27,2019-01-01 15:14:29,234,161
2015-01-01 15:51:49,2015-01-01 15:58:47,161,186
2016-01-01 15:47:28,2016-01-01 16:12:46,79,244
2019-01-01 15:47:08,2019-01-01 15:51:47,163,142
2019-01-01 15:10:38,2019-01-01 15:19:10,79,68
2015-01-01 15:43:44,2015-01-01 15:46:04,239,142
2017-01-01 15:02:03,2017-01-01 15:06:10,140,237
2015-01-01 15:05:11,2015-01-01 15:09:52,161,170
2017-01-01 15:17:21,2017-01-01 15:30:54,43,170
2018-01-01 15:40:11,2018-01-01 15:51:22,170,236
2018-01-01 15:15:24,2018-01-01 15:22:00,186,170
2017-01-01 15:54:18,2017-01-01 15:59:17,163,142
2017-01-01 15:01:12,2017-01-01 15:09:08,74,140
2017-01-01 15:51:19,2017-01-01 15:55:04,142,163
2015-01-01 15:43:55,2015-01-01 15:55:04,161,68
2015-01-01 15:17:05,2015-01-01 15:38:53,88,50
2016-01-01 15:03:41,2016-01-01 15:10:55,161,236
2017-01-01 15:27:12,2017-01-01 15:33:28,79,113
2015-01-01 15:48:47,2015-01-01 15:53:52,50,48
2016-01-01 15:02:52,2016-01-01 15:10:23,48,170
2017-01-01 15:13:43,2017-01-01 15:27:50,161,239
2018-01-01 15:21:37,2018-01-01 15:25:13,186,170
2018-01-01 15:37:09,2018-01-01 15:41:16,186,113
2015-01-01 15:34:34,2015-01-01 15:51:36,68,236
2017-01-01 15:38:55,2017-01-01 15:49:16,239,163
2016-01-01 15:14:43,2016-01-01 15:35:39,79,142
2016-01-01 15:37:44,2016-01-01 15:39:15,161,163
2018-01-01 15:26:46,2018-01-01 15:33:42,234,68
2016-01-01 15:11:59,2016-01-01 15:20:19,68,50
2018-01-01 15:16:29,2018-01-01 15:27:24,236,74
2015-01-01 15:32:57,2015-01-01 15:44:28,43,142
2016-01-01 15:36:20,2016-01-01 15:44:23,237,142
2017-01-01 15:48:11,2017-01-01 15:53:16,140,237
2017-01-01 15:48:13,2017-01-01 15:58:56,142,237
2016-01-01 15:24:40,2016-01-01 15:27:29,234,79
2018-01-01 15:02:10,2018-01-01 15:03:51,163,161
2017-01-01 15:30:29,2017-01-01 15:46:10,161,140
2016-01-01 15:35:02,2016-01-01 15:42:55,236,239
2017-01-01 15:29:02,2017-01-01 15:38:40,186,48
2016-01-01 15:29:12,2016-01-01 15:38:30,68,50
2016-01-01 15:10:35,2016-01-01 15:33:02,41,186
2017-01-01 15:17:05,2017-01-01 15:26:08,142,48
2015-01-01 15:29:30,2015-01-01 15:39:39,43,68
2015-01-01 15:33:06,2015-01-01 15:43:41,161,163
2019-01-01 15:05:07,2019-01-01 15:12:02,43,239
2015-01-01 15:59:58,2015-01-01 16:07:00,236,237
2015-01-01 15:43:33,2015-01-01 15:55:47,163,161
2017-01-01 15:58:01,2017-01-01 16:09:11,161,163
2015-01-01 15:20:22,2015-01-01 15:29:04,231,88
2018-01-01 15:25:18,2018-01-01 15:31:16,43,161
2018-01-01 15:52:35,2018-01-01 16:07:23,68,161
2017-01-01 15:37:15,2017-01-01 15:45:24,43,161
2017-01-01 15:12:38,2017-01-01 15:30:27,161,163
2019-01-01 15:14:29,2019-01-01 15:31:33,48,50
2019-01-01 15:44:06,2019-01-01 15:48:27,239,142
2016-01-01 15:06:48,2016-01-01 15:13:20,74,41
2015-01-01 15:55:17,2015-01-01 15:59:28,239,142
2019-01-01 15:44:57,2019-01-01 15:48:32,237,236
2015-01-01 15:58:15,2015-01-01 16:03:56,68,48
2019-01-01 15:28:16,2019-01-01 15:40:01,234,50
2018-01-01 15:18:11,2018-01-01 15:22:34,140,237
2018-01-01 15:36:37,2018-01-01 15:50:03,234,140
2016-01-01 15:06:52,2016-01-01 15:10:09,79,234
2018-01-01 15:55:37,2018-01-01 16:05:39,234,231
2018-01-01 15:09:55,2018-01-01 15:18:07,142,50
2016-01-01 15:52:18,2016-01-01 15:58:18,161,237
2016-01-01 15:06:32,2016-01-01 15:14:30,170,186
2015-01-01 15:24:40,2015-01-01 15:33:57,68,231
2018-01-01 15:11:20,2018-01-01 15:26:13,68,236
2019-01-01 15:33:12,2019-01-01 15:46:32,142,68
2018-01-01 15:14:09,2018-01-01 15:22:24,186,163
2015-01-01 15:26:01,2015-01-01 15:34:28,79,186
2015-01-01 15:44:57,2015-01-01 16:06:35,48,12
2015-01-01 15:07:05,2015-01-01 15:15:38,43,161
2015-01-01 15:33:32,2015-01-01 15:46:32,239,161
2015-01-01 15:31:36,2015-01-01 15:39:05,239,43
2017-01-01 15:05:21,2017-01-01 15:10:40,140,237
2018-01-01 15:40:47,2018-01-01 15:46:24,234,79
2017-01-01 15:47:51,2017-01-01 15:54:24,48,163
2018-01-01 15:41:08,2018-01-01 15:54:00,161,186
2017-01-01 15:48:28,2017-01-01 15:53:42,237,43
2015-01-01 15:59:14,2015-01-01 16:17:34,239,161
2015-01-01 15:22:52,2015-01-01 15:27:33,161,186
2016-01-01 15:21:22,2016-01-01 15:30:36,234,68
2015-01-01 15:18:44,2015-01-01 15:28:31,41,142
2016-01-01 15:39:45,2016-01-01 15:43:09,79,170
2015-01-01 15:54:08,2015-01-01 16:02:26,237,239
2017-01-01 15:20:32,2017-01-01 15:23:55,237,236
2019-01-01 15:18:30,2019-01-01 15:37:46,237,113
2015-01-01 15:44:11,2015-01-01 16:08:11,43,170
2017-01-01 15:11:43,2017-01-01 15:16:44,237,140
2018-01-01 15:22:33,2018-01-01 15:40:37,239,113
2018-01-01 15:35:36,2018-01-01 15:39:53,142,239
2015-01-01 15:42:47,2015-01-01 15:52:52,234,170
2015-01-01 15:39:34,2015-01-01 15:50:29,237,161
2015-01-01 15:52:02,2015-01-01 15:56:56,142,239
2019-01-01 15:04:17,2019-01-01 15:12:39,79,68
2019-01-01 15:07:15,2019-01-01 15:18:55,68,43
2018-01-01 15:49:03,2018-01-01 15:54:39,186,48
2015-01-01 15:35:24,2015-01-01 15:37:41,237,236
2017-01-01 15:30:43,2017-01-01 15:49:49,234,161
2017-01-01 15:04:12,2017-01-01 15:18:14,163,43
2015-01-01 15:18:00,2015-01-01 15:21:44,170,113
2019-01-01 15:36:18,2019-01-01 15:37:59,237,236
2018-01-01 15:07:44,2018-01-01 15:10:50,163,161
2015-01-01 15:29:18,2015-01-01 15:36:23,236,237
2015-01-01 15:23:00,2015-01-01 15:32:49,236,237
2015-01-01 15:09:16,2015-01-01 15:15:26,170,113
2016-01-01 15:44:36,2016-01-01 15:55:03,237,142
2015-01-01 15:06:29,2015-01-01 15:15:43,186,161
2016-01-01 15:05:42,2016-01-01 15:13:49,48,237
2015-01-01 15:27:45,2015-01-01 15:36:08,170,186
2016-01-01 15:28:57,2016-01-01 15:41:25,170,79
2015-01-01 15:39:23,2015-01-01 15:48:54,79,231
2017-01-01 15:08:02,2017-01-01 15:20:34,79,161
2016-01-01 15:22:47,2016-01-01 15:28:06,186,161
2015-01-01 15:16:17,2015-01-01 15:35:08,231,142
2016-01-01 15:26:13,2016-01-01 15:42:38,170,186
2018-01-01 15:28:13,2018-01-01 15:36:02,236,161
2018-01-01 15:00:32,2018-01-01 15:09:41,237,236
2017-01-01 15:59:40,2017-01-01 16:10:16,113,170
2018-01-01 15:39:52,2018-01-01 15:44:43,48,50
2016-01-01 15:16:35,2016-01-01 15:21:48,142,239
2017-01-01 15:55:41,2017-01-01 15:58:05,234,113
2016-01-01 15:22:16,2016-01-01 15:31:31,163,113
2017-01-01 15:25:31,2017-01-01 15:30:36,142,48
2017-01-01 15:12:31,2017-01-01 15:20:56,163,186
2017-01-01 15:40:08,2017-01-01 15:54:40,239,161
2015-01-01 15:23:30,2015-01-01 15:31:35,43,237
2019-01-01 15:05:08,2019-01-01 15:24:31,231,237
2018-01-01 15:43:11,2018-01-01 15:47:35,68,50
2019-01-01 15:39:55,2019-01-01 15:47:50,113,79
2016-01-01 15:13:52,2016-01-01 15:20:50,163,140
2017-01-01 15:56:49,2017-01-01 16:15:16,43,234
2019-01-01 15:27:33,2019-01-01 15:35:59,237,161
2016-01-01 15:37:09,2016-01-01 15:41:46,237,236
2019-01-01 15:26:53,2019-01-01 15:32:21,234,170
2015-01-01 15:40:32,2015-01-01 15:44:28,48,186
2016-01-01 15:38:01,2016-01-01 15:44:09,79,170
2015-01-01 15:09:59,2015-01-01 15:17:20,239,48
2015-01-01 15:49:11,2015-01-01 16:03:07,79,68
2015-01-01 15:54:56,2015-01-01 16:04:15,140,79
2015-01-01 15:01:24,2015-01-01 15:04:53,48,142
2017-01-01 15:27:24,2017-01-01 15:42:07,140,170
2019-01-01 15:27:56,2019-01-01 15:36:13,161,68
2017-01-01 15:23:39,2017-01-01 15:29:59,161,234
2017-01-01 15:26:05,2017-01-01 15:32:09,41,74
2016-01-01 15:23:36,2016-01-01 15:29:58,237,140
2016-01-01 15:35:27,2016-01-01 15:43:43,236,239
2015-01-01 15:02:35,2015-01-01 15:09:41,236,142
2016-01-01 15:33:08,2016-01-01 15:44:43,161,170
2016-01-01 15:22:46,2016-01-01 15:30:29,231,113
2018-01-01 15:54:21,2018-01-01 15:59:22,142,50
2016-01-01 15:46:43,2016-01-01 15:52:20,163,161
2016-01-01 15:03:48,2016-01-01 15:09:55,239,163
2015-01-01 15:21:52,2015-01-01 15:30:57,236,74
2015-01-01 15:48:06,2015-01-01 15:51:07,41,74
2018-01-01 15:18:20,2018-01-01 15:26:56,43,48
2018-01-01 15:13:22,2018-01-01 15:14:39,68,48
2015-01-01 15:34:12,2015-01-01 15:44:10,140,142
2016-01-01 15:05:44,2016-01-01 15:18:12,142,186
2017-01-01 15:43:35,2017-01-01 15:58:29,232,161
2019-01-01 15:02:51,2019-01-01 15:20:37,236,186
2016-01-01 15:44:17,2016-01-01 15:52:07,142,237
2017-01-01 15:33:54,2017-01-01 15:37:56,74,41
2018-01-01 15:09:32,2018-01-01 15:29:39,140,48
2015-01-01 15:27:38,2015-01-01 15:35:54,142,236
2017-01-01 15:47:25,2017-01-01 15:53:36,239,142
2015-01-01 15:46:52,2015-01-01 15:57:14,163,186
2017-01-01 15:44:30,2017-01-01 15:54:43,50,239
2019-01-01 15:38:34,2019-01-01 15:41:21,68,186
2016-01-01 15:48:13,2016-01-01 16:02:13,50,236
2015-01-01 15:51:15,2015-01-01 16:06:22,170,50
2015-01-01 15:22:51,2015-01-01 15:25:22,43,41
2015-01-01 15:48:39,2015-01-01 16:03:42,237,234
2018-01-01 15:58:15,2018-01-01 16:15:54,236,161
2017-01-01 15:48:07,2017-01-01 16:00:25,231,68
2017-01-01 15:42:57,2017-01-01 15:56:11,79,68
2018-01-01 15:27:47,2018-01-01 15:43:16,234,142
2015-01-01 15:43:35,2015-01-01 15:55:59,239,163
2015-01-01 15:57:18,2015-01-01 16:05:21,48,186
2015-01-01 15:39:34,2015-01-01 15:51:10,237,161
2017-01-01 15:06:01,2017-01-01 15:13:55,161,48
2015-01-01 15:25:07,2015-01-01 15:32:37,236,140
2019-01-01 15:28:53,2019-01-01 15:30:59,236,237
2016-01-01 15:11:51,2016-01-01 15:26:08,113,88
2018-01-01 15:37:45,2018-01-01 15:41:23,48,68
2015-01-01 15:17:00,2015-01-01 15:23:51,163,142
2018-01-01 15:49:14,2018-01-01 15:53:23,161,236
2017-01-01 15:40:22,2017-01-01 15:42:58,237,236
2015-01-01 15:39:58,2015-01-01 15:49:40,79,186
2016-01-01 15:38:38,2016-01-01 15:51:45,140,239
2016-01-01 15:17:01,2016-01-01 15:21:59,43,236
2017-01-01 15:00:45,2017-01-01 15:15:00,140,234
2016-01-01 15:01:09,2016-01-01 15:17:35,88,161
2016-01-01 15:35:48,2016-01-01 15:38:38,163,50
2016-01-01 15:47:25,2016-01-01 16:01:11,142,234
2017-01-01 15:47:22,2017-01-01 15:50:36,142,48
2015-01-01 15:29:37,2015-01-01 15:36:31,48,186
2018-01-01 15:21:03,2018-01-01 15:32:50,234,140
2018-01-01 15:44:35,2018-01-01 15:54:14,142,161
2016-01-01 15:11:10,2016-01-01 15:20:44,79,170
2016-01-01 15:20:36,2016-01-01 15:44:19,231,161
2017-01-01 15:07:16,2017-01-01 15:12:59,163,43
2016-01-01 15:31:19,2016-01-01 15:40:42,236,163
2015-01-01 15:24:31,2015-01-01 15:27:24,41,74
2018-01-01 15:20:31,2018-01-01 15:24:00,43,142
2015-01-01 15:35:23,2015-01-01 15:48:50,68,163
2015-01-01 15:18:02,2015-01-01 15:31:07,239,68
2019-01-01 15:05:30,2019-01-01 15:20:56,163,186
2016-01-01 15:14:26,2016-01-01 15:18:59,74,41
2016-01-01 15:41:20,2016-01-01 15:45:59,239,142
2018-01-01 15:56:46,2018-01-01 16:02:30,161,186
2017-01-01 15:30:17,2017-01-01 15:37:26,113,186
2019-01-01 15:21:09,2019-01-01 15:30:28,163,239
2018-01-01 15:50:48,2018-01-01 15:59:30,186,163
2019-01-01 15:52:14,2019-01-01 15:59:19,186,50
2015-01-01 15:25:05,2015-01-01 15:40:01,239,161
2018-01-01 15:38:03,2018-01-01 15:47:02,163,239
2015-01-01 15:15:49,2015-01-01 15:25:21,239,186
2019-01-01 15:21:31,2019-01-01 15:26:54,239,142
2017-01-01 15:50:56,2017-01-01 15:59:50,170,68
2017-01-01 15:39:20,2017-01-01 15:44:05,231,88
2016-01-01 15:54:50,2016-01-01 15:59:32,142,43
2015-01-01 15:35:11,2015-01-01 15:49:10,163,79
2018-01-01 15:01:57,2018-01-01 15:09:35,48,186
2015-01-01 15:29:50,2015-01-01 15:35:23,41,74
2016-01-01 15:52:59,2016-01-01 16:12:40,43,170
2016-01-01 15:59:07,2016-01-01 16:19:20,74,50
2016-01-01 15:59:31,2016-01-01 16:14:23,236,140
2015-01-01 15:32:00,2015-01-01 15:37:45,79,68
2017-01-01 15:11:55,2017-01-01 15:20:07,239,237
2019-01-01 15:27:08,2019-01-01 15:34:01,237,142
2017-01-01 15:51:23,2017-01-01 16:00:15,236,239
2015-01-01 15:25:13,2015-01-01 15:34:20,142,140
2016-01-01 15:28:35,2016-01-01 15:31:44,237,236
2017-01-01 15:25:27,2017-01-01 15:34:37,237,236
2016-01-01 15:04:05,2016-01-01 15:22:38,140,186
